County,Name,Address,Phone,Hours,Website
Richland,Harvest Hope Food Bank – Midlands Emergency Food Pantry,"2220 Shop Rd, Columbia, SC 29201",(803) 254-4432,Mon–Thu 9:00am–1:00pm; Fri 9:00am–12:00pm,https://www.harvesthope.org/get-help
Richland,The Salvation Army of the Midlands – Food Pantry,"3024 Farrow Rd, Columbia, SC 29203",(803) 765-0260,Mon–Fri 10:00am–12:00pm,https://southernusa.salvationarmy.org/midlands/hunger/
Richland,Washington Street UMC – Soup Cellar,"1401 Washington St, Columbia, SC 29201",(803) 256-2417,Mon–Fri 11:30am–12:30pm (bag lunches),https://wsmethodist.org/engaging-gods-world/soup-cellar/
Richland,Trinity Episcopal Cathedral – Food Pantry,"1100 Sumter St, Columbia, SC 29201",(803) 771-7300,Mon–Sat 11:00am–1:00pm,https://www.trinitysc.org/
Richland,Oliver Gospel – Daily Community Dinner (open to public),"1101 Taylor St, Columbia, SC 29201",(803) 254-6470,Dinner daily ~4:45pm (to-go),https://www.olivergospel.org/
Richland,Transitions – Midday Meal for Day Center Guests,"2025 Main St, Columbia, SC 29201",(803) 708-4861,Lunch ~12:00pm; Dinner ~5:30pm (residents),https://transitionssc.org/services/
Richland,The Cooperative Ministry – Emergency Food (Mary’s Pantry),"3821 W Beltline Blvd, Columbia, SC 29204",(803) 799-3853,Mon–Thu 9:00am–2:00pm,https://www.coopmin.org/food
Richland,Our Lady of the Hills – St. Vincent de Paul Food Pantry,"120 Marydale Ln, Columbia, SC 29210",(803) 772-7400 / (803) 465-1644,Tue–Thu 9:00am–11:00am,https://www.olhcolumbia.org/st-vincent-de-paul
Lexington,Mission Lexington – Food Pantry,"216 Harmon St, Lexington, SC 29072",(803) 785-6900 / (803) 957-6656,Mon–Fri 10:00am–3:00pm,https://www.missionlexingtonsc.org/food
Kershaw,KARE – Kershaw Area Resource Exchange Food Pantry,"206–210 E Marion St, Kershaw, SC 29067",(803) 475-4173,Mon–Thu 8:30am–11:00am,https://www.kershawkare.org/food-pantry
Newberry,Manna House (Newberry) – Food Pantry,"1840 Wilson Rd, Newberry, SC 29108",(803) 276-1978,Tue & Thu 1:00pm–2:00pm (check latest),https://www.newberryobserver.com/news/39296/manna-house-still-serving-after-30-years
Fairfield,Fairfield Community Food Bank,"Hwy 321 Bypass S, Winnsboro, SC 29180",(803) 635-9234,Call for hours,https://www.getcaresc.com/provider/fairfield-community-food-bank
Orangeburg,The Samaritan House of Orangeburg,"1580 Middleton St, Orangeburg, SC 29115",(803) 809-1090,Call for hours,http://www.samaritanhouseorangeburgsc.org
Sumter,Sumter United Ministries – Crisis Relief (food assistance),"36 S Artillery Dr, Sumter, SC 29150",(803) 775-0757,New clients Mon–Thu sign-in 9:00am,https://sumterunitedministries.org/causes/crisis-relief-services
Lee,CareSouth Carolina – Bishopville Food Pantry,"106 Hospital Sq, Bishopville, SC 29010",(843) 339-1286,Mon–Wed 9:00am–4:00pm (closed 12–1pm),https://www.caresouth-carolina.com/news/caresouth-carolina-bishopville-food-pantry-hours-updated
Calhoun,FoodShare Calhoun Hub (produce boxes),"102 Upper Muller St, St. Matthews, SC 29135",See website,Order/pickup schedule varies,https://foodsharesc.org/locations/find-locations/
Clarendon,United Ministries of Clarendon County – Food Assistance,"11 S Church St, Manning, SC 29102",(803) 435-8428,Call for pantry hours,https://ampleharvest.org/food-pantries/united-ministries-of-clarendon-county-3661/
Richland,Rehoboth United Methodist Church – Food Pantry,"6911 Two Notch Rd, Columbia, SC 29223",(803) 788-2220,Mon–Thu 10:00am–12:00pm,https://rehobothchurchsc.com/foodpantry/
Richland,Good Shepherd Lutheran Church – Food Pantry,"3909 Forest Dr, Columbia, SC 29204",(803) 787-4413,Wed 1:00pm–3:00pm (call Mon/Tue to request),https://www.gslc.com/ministries/food-pantry/
Richland,Virginia Wingard Memorial UMC – Food Pantry,"1500 Broad River Rd, Columbia, SC 29210",(803) 772-0794,Tue & Wed 1:00pm–3:00pm (Richland Co. residents),https://www.virginiawingardumc.com/food-pantry/
Richland,St. Joseph Catholic Church – SVDP Pantry,"3600 Devine St, Columbia, SC 29205",(803) 254-7646,Wed 8:30am–11:30am,https://www.stjosephcolumbia.org/st-vincent-de-paul
Richland,Bethlehem Baptist Church – Food Pantry (College Place),"1218 Lyon St, Columbia, SC 29204",(803) 254-5651,Tue 9:00am–10:30am (or until food runs out),https://www.bbcofcolumbia.org/
Richland,Bethlehem Baptist Church – Wiley Kennedy Family Life Ctr,"1037 Eastman St, Columbia, SC 29203",(803) 735-0410,Fri 10:00am–12:00pm (or until food runs out),https://www.wileykennedyflc.org/
Lexington,Sharing God’s Love – Food Pantry (serves 29063/29210/29212),"147 Friarsgate Blvd, Irmo, SC 29063",(803) 732-3188,Mon–Fri 9:00am–12:00pm; Tue 4:00pm–6:00pm (electric assistance appt),https://sharinggodslove.net/get-help/
Lexington,Emmanuel Lutheran Church – Food Pantry,"2491 Emanuel Church Rd, West Columbia, SC 29170",(803) 755-9857,3rd Tuesday 10:00am–12:00pm,https://elcwc.org/get-involved/emmanuel-food-pantry
Lexington (Chapin),Chapin We Care Center (Christian community ministry),"1800 Chapin Rd, Chapin, SC 29036",(803) 345-3244,"Mon, Wed & Fri 9:00am–12:00pm; Tue & Thu 3:00pm–6:00pm",https://www.chapinwecare.org/need-help/
